subid,stress_cond,env,trial_time,reaction_time,reward
31730,pre,short,0,1094,
31730,pre,short,11233.9079547091,1283,
31730,pre,short,19343.8867570021,1198,
31730,pre,short,27910.8641600742,1163,
31730,pre,short,35838.9282477801,1234,
31730,pre,short,43162.5092932536,1970,
31730,pre,short,51414.5032444412,1503,
31730,pre,short,59129.250700993,1267,
31730,pre,short,66584.0406477655,954,
31730,pre,short,103138.225160246,901,
31730,pre,short,110711.740827033,581,
31730,pre,short,117490.804319812,480,
31730,pre,short,125324.786304527,997,
31730,pre,short,132950.164849099,747,
31730,pre,short,140373.9163137,448,
31730,pre,short,147510.781755276,962,
31730,pre,short,155044.976981171,828,
31730,pre,short,162334.540567574,756,
31730,pre,short,170006.860614219,1032,
31730,pre,short,177396.365893104,944,
31730,pre,short,204599.078930838,808,
31730,pre,short,211902.617359679,1265,
31730,pre,short,219510.364200763,639,
31730,pre,short,226953.284459307,704,
31730,pre,short,233750.863749236,522,
31730,pre,short,240285.847469746,781,
31730,pre,short,246883.182310541,823,
31730,pre,short,253390.874083414,580,
31730,pre,short,259569.843794317,688,
31730,pre,short,265888.751547558,587,
31730,pre,short,272164.404287578,516,
31730,pre,short,297923.340230685,446,
31730,pre,long,335632.033739352,685,
31730,pre,long,345166.349846686,718,
31730,pre,long,352257.497611998,582,
31730,pre,long,359172.554698851,861,
31730,pre,long,366155.080615277,698,
31730,pre,long,372664.983017343,779,
31730,pre,long,379443.015857591,647,
31730,pre,long,391304.035780906,563,
31730,pre,long,398051.270716747,448,
31730,pre,long,404698.940825769,573,
31730,pre,long,410930.981438773,532,
31730,pre,long,417631.125548411,497,
31730,pre,long,429086.388749967,682,
31730,pre,long,436056.657841531,1329,
31730,pre,long,443470.614749272,1016,
31730,pre,long,451014.54211612,618,
31730,pre,long,457824.576934714,685,
31730,pre,long,464533.621631614,681,
31730,pre,long,475528.493651353,731,
31730,pre,long,482248.337880214,528,
31730,pre,long,489691.750355336,786,
31730,pre,long,496202.668793547,506,
31730,pre,long,503013.551757402,523,
31730,pre,long,509544.684653509,489,
31730,pre,long,516157.546438619,473,
31730,pre,long,526754.452663854,672,
31730,pre,long,533749.695228658,596,
31730,pre,long,540030.123180555,631,
31730,pre,long,546408.161314304,413,
31730,pre,long,552806.532417162,1416,
31730,pre,long,559941.336553677,632,
31730,pre,long,566370.116449119,547,
31730,pre,long,576778.017038752,647,
31730,pre,long,583147.49076205,752,
31730,pre,long,589652.982571741,580,
31730,pre,long,595924.269753647,614,
31730,pre,long,602285.327205513,565,
31730,pre,long,608994.783926402,513,
31730,pre,long,619332.249350755,396,
31730,pre,long,625469.941605574,706,
31730,pre,long,631915.305565364,619,
31730,pre,long,638294.969672979,NaN,
