subid,stress_cond,env,trial_time,reaction_time,reward
47204,pre,short,0,815,
47204,pre,short,9475.37386190197,755,
47204,pre,short,16457.5474754056,1163,
47204,pre,short,23362.3556934144,728,
47204,pre,short,30349.3530893375,697,
47204,pre,short,36770.6785451301,1032,
47204,pre,short,43469.6592737018,863,
47204,pre,short,50430.3903427954,651,
47204,pre,short,57058.3926150412,599,
47204,pre,short,63622.3753819995,939,
47204,pre,short,70251.3932913425,705,
47204,pre,short,77384.5642122833,646,
47204,pre,short,83720.1333166886,730,
47204,pre,short,90530.9870049005,499,
47204,pre,short,96855.0578016402,997,
47204,pre,short,103503.754815487,561,
47204,pre,short,110266.61678681,508,
47204,pre,short,116937.770006984,878,
47204,pre,short,142806.199376158,4171,
47204,pre,short,153334.871076109,504,
47204,pre,short,159626.344701937,498,
47204,pre,short,165886.690690111,1071,
47204,pre,short,172702.417540222,743,
47204,pre,short,179207.201028988,922,
47204,pre,short,185910.631441058,800,
47204,pre,short,192415.227287811,532,
47204,pre,short,198705.957061185,780,
47204,pre,short,205222.037784386,4418,
47204,pre,short,215364.443062697,606,
47204,pre,short,221710.189474981,540,
47204,pre,short,228029.711434232,697,
47204,pre,short,234503.256675314,478,
47204,pre,short,240698.806122738,790,
47204,pre,short,247234.562790154,548,
47204,pre,short,253477.128215985,638,
47204,pre,short,259877.587879668,529,
47204,pre,short,286101.246891069,845,
47204,pre,short,292806.39215364,4548,
47204,pre,long,334368.406852132,432,
47204,pre,long,342732.209166727,782,
47204,pre,long,349854.528453639,598,
47204,pre,long,356241.185960742,682,
47204,pre,long,362679.864945152,579,
47204,pre,long,369021.311392516,689,
47204,pre,long,375518.005337724,738,
47204,pre,long,382700.152404819,896,
47204,pre,long,389389.995954833,656,
47204,pre,long,396471.780616066,912,
47204,pre,long,403831.824164816,906,
47204,pre,long,411138.823488514,683,
47204,pre,long,418296.330986293,753,
47204,pre,long,424871.64812105,416,
47204,pre,long,435482.511764167,998,
47204,pre,long,442448.522487019,524,
47204,pre,long,448784.83149352,596,
47204,pre,long,455213.3833396,647,
47204,pre,long,461687.530615276,550,
47204,pre,long,468084.243364188,644,
47204,pre,long,474465.317039949,681,
47204,pre,long,481229.564006864,588,
47204,pre,long,487614.522069862,570,
47204,pre,long,494653.865267503,745,
47204,pre,long,501222.852743287,613,
47204,pre,long,507684.715194973,549,
47204,pre,long,514112.060996691,648,
47204,pre,long,520632.004775192,583,
47204,pre,long,527074.42158855,614,
47204,pre,long,533551.231010628,639,
47204,pre,long,544183.148087868,587,
47204,pre,long,551293.807102427,603,
47204,pre,long,557708.809614856,615,
47204,pre,long,564985.679951458,780,
47204,pre,long,571581.527887949,599,
47204,pre,long,577962.626846001,579,
47204,pre,long,584974.181248755,744,
47204,pre,long,591608.722153924,1199,
47204,pre,long,599402.470396015,716,
47204,pre,long,606533.115457909,760,
47204,pre,long,613468.284549042,803,
47204,pre,long,620629.594266607,723,
47204,pre,long,628238.274941772,673,
47204,pre,long,635523.900852329,NaN,
47204,pre,long,656821.468300745,NaN,
