file,environment,trial_type,n_trials,channel,beta_power,frontal_asymmetry,aperiodic_exponent,aperiodic_offset,central_freq
31730_processed.fif,preshort,stay,35,T4,1.276716626642234e-13,1.1058110190792878,1.4523847716410596,-11.670037386080361,26.715719594489737
31730_processed.fif,preshort,stay,35,A2,4.122165870833273e-14,1.1058110190792878,1.2407418472152205,-12.520433216320582,19.727676483068976
31730_processed.fif,preshort,stay,35,C3,8.02760093607068e-14,1.1058110190792878,1.257015114143181,-12.137235504932358,25.725733271093752
31730_processed.fif,preshort,stay,35,C4,9.182483359371622e-14,1.1058110190792878,1.3486243446937034,-11.964790139519247,28.43589450022589
31730_processed.fif,preshort,stay,35,A1,4.463993708795266e-14,1.1058110190792878,1.3696149876546284,-12.311658658901536,15.13450588931885
31730_processed.fif,preshort,stay,35,T3,1.4971857620987277e-13,1.1058110190792878,1.1751524854201765,-11.893104515843012,18.48077837376944
31730_processed.fif,preshort,stay,35,O1,2.1371286760581554e-13,1.1058110190792878,1.575291627556175,-11.47722501461403,18.261122150823233
31730_processed.fif,preshort,stay,35,T5,1.5210078878835183e-13,1.1058110190792878,1.6195688572910394,-11.464573201230943,23.66268127953495
31730_processed.fif,preshort,stay,35,O2,1.900096146093864e-13,1.1058110190792878,1.7037151633254528,-11.334994279782979,24.281199139194477
31730_processed.fif,preshort,stay,35,F8,1.8368421436646445e-13,1.1058110190792878,1.6612057451165496,-11.325584216321614,27.982339902690086
31730_processed.fif,preshort,stay,35,T6,1.138208302767471e-13,1.1058110190792878,1.6241053360034639,-11.392398606633169,24.962800106078756
31730_processed.fif,preshort,stay,35,FZ,1.2961803923547867e-12,1.1058110190792878,1.170665662907842,-11.61043109304793,25.669329025256722
31730_processed.fif,preshort,stay,35,FP2,3.5953251629483164e-13,1.1058110190792878,1.3337164567513133,-11.238673107137897,33.33026490194723
31730_processed.fif,preshort,stay,35,F7,1.6198908150178007e-13,1.1058110190792878,1.1763349313951499,-11.77251349258551,27.38718676859861
31730_processed.fif,preshort,stay,35,FP1,3.6150607851275823e-13,1.1058110190792878,1.6974595296672332,-10.720360374478366,31.46652493907175
31730_processed.fif,preshort,stay,35,CZ,7.31028711839085e-14,1.1058110190792878,1.5129323860922235,-11.795133572868409,24.205205514199587
31730_processed.fif,preshort,stay,35,F3,1.8768876249345246e-12,1.1058110190792878,1.0625613682555521,-11.250114402300293,25.67431446399284
