participant,environment,total_trials,stay_count,leave_count,stay_percent
31730,poststress_long,34,30,4,88.23529411764706
31730,poststress_short,41,34,7,82.92682926829268
31730,prestress_long,32,29,3,90.625
31730,prestress_short,41,35,6,85.36585365853658
43000,poststress_long,39,36,3,92.3076923076923
43000,poststress_short,44,39,5,88.63636363636364
43000,prestress_long,39,37,2,94.87179487179486
43000,prestress_short,42,37,5,88.09523809523809
47131,poststress_long,38,35,3,92.10526315789474
47131,poststress_short,44,38,6,86.36363636363636
47131,prestress_long,39,36,3,92.3076923076923
47131,prestress_short,44,39,5,88.63636363636364
47204,poststress_long,38,36,2,94.73684210526315
47204,poststress_short,43,40,2,93.02325581395348
47204,prestress_long,37,35,2,94.5945945945946
47204,prestress_short,32,30,2,93.75
47324,poststress_long,23,14,9,60.86956521739131
47324,poststress_short,40,28,12,70.0
47324,prestress_long,28,22,6,78.57142857142857
47324,prestress_short,40,27,13,67.5
48238,poststress_long,39,36,3,92.3076923076923
48238,poststress_short,45,39,6,86.66666666666667
48238,prestress_long,37,35,2,94.5945945945946
48238,prestress_short,41,35,6,85.36585365853658
